cv_type,accuracy,f1_score,auc,n_subjects,n_class0,n_class1
LOO,0.5106382978723404,0.5490196078431373,0.19746376811594205,47,23,24
KFold,0.46808510638297873,0.5454545454545454,0.3170289855072464,47,23,24
