channel,svm_loo_accuracy,svm_loo_balanced_accuracy,svm_loo_auc,svm_kfold_accuracy,svm_kfold_balanced_accuracy,svm_kfold_auc,multirocket_accuracy,multirocket_balanced_accuracy,hc2_accuracy,hc2_balanced_accuracy
8,0.5428571428571428,0.5226522377109317,0.3867846661775495,0.5666666666666667,0.5421863536316948,0.4459831254585473,0.7952380952380952,0.7904438738077769,0.7333333333333333,0.7202861335289802
2,0.4809523809523809,0.456529713866471,0.5756603081438003,0.5047619047619047,0.47505502567865,0.5720836390315481,0.7523809523809524,0.7496331621423331,0.7428571428571429,0.7319332355099046
10,0.5047619047619047,0.4901870873074101,0.4752384446074835,0.5047619047619047,0.4841342626559061,0.4941305942773294,0.7476190476190476,0.748349229640499,0.7428571428571429,0.7359684519442407
14,0.5476190476190477,0.530997798972854,0.4653338224504769,0.5619047619047619,0.5429200293470287,0.5553008070432869,0.7857142857142857,0.7808143800440206,0.7857142857142857,0.7798055759354365
15,0.5047619047619047,0.4861518708730741,0.4376375641966251,0.5047619047619047,0.4831254585473221,0.5627292736610419,0.7476190476190476,0.7463316214233309,0.7238095238095238,0.7157006603081438
4,0.5666666666666667,0.5482391782831988,0.1469185619955979,0.5380952380952381,0.5173330887747616,0.4502017608217168,0.7285714285714285,0.731107850330154,0.7095238095238096,0.6987344093910491
17,0.5095238095238095,0.4904622157006603,0.5311812179016875,0.5285714285714286,0.5077035950110051,0.4861518708730741,0.7,0.6961665443873808,0.6952380952380952,0.6847945707997065
9,0.5190476190476191,0.5011005135730007,0.3481291269258987,0.5,0.4808327219369039,0.4863352898019076,0.719047619047619,0.7144167278063096,0.7476190476190476,0.7362435803374908
6,0.4952380952380952,0.4775311812179017,0.4073734409391049,0.5142857142857142,0.4937637564196625,0.5514490095377843,0.7761904761904762,0.7732024944974321,0.7428571428571429,0.7319332355099046
11,0.5142857142857142,0.4977989728539985,0.4275953778429934,0.5333333333333333,0.5160491562729274,0.4561170212765957,0.780952380952381,0.7795304475421864,0.7952380952380952,0.7874174614820248
3,0.5190476190476191,0.5000917094644167,0.4752384446074835,0.5,0.4818415260454879,0.4463499633162142,0.7,0.6961665443873808,0.7428571428571429,0.7309244314013206
19,0.5190476190476191,0.4980741012472487,0.4556584739545121,0.5142857142857142,0.4917461482024945,0.4435069699192957,0.7619047619047619,0.7582538517975055,0.7333333333333333,0.7263389581804842
1,0.5285714285714286,0.5087123991195892,0.4804200293470286,0.5523809523809524,0.5282465150403521,0.4664343360234776,0.7476190476190476,0.7433052090975789,0.7476190476190476,0.7402787967718268
18,0.5142857142857142,0.4927549523110785,0.4848679383712399,0.4952380952380952,0.4724871606749816,0.4981658107116654,0.7619047619047619,0.7572450476889214,0.7571428571428571,0.7488994864269993
7,0.5,0.4878943506969919,0.2798055759354365,0.4904761904761904,0.4792736610418194,0.4818415260454878,0.6666666666666666,0.6609501100513573,0.7380952380952381,0.7276228906823183
16,0.5190476190476191,0.5011005135730007,0.3393250183418928,0.5142857142857142,0.4967901687454145,0.4536867204695525,0.7380952380952381,0.7346845194424065,0.7238095238095238,0.7136830520909758
12,0.5238095238095238,0.511463683052091,0.4399303008070432,0.5190476190476191,0.5031181217901688,0.5159574468085106,0.7952380952380952,0.791452677916361,0.7380952380952381,0.7306493030080704
13,0.5333333333333333,0.5120139398385913,0.3213958180484226,0.5190476190476191,0.5011005135730007,0.5203595011005135,0.6952380952380952,0.6878209831254585,0.7523809523809524,0.739545121056493
