classifier,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,auc_mean,auc_std,best_channel,best_channel_accuracy
SVM Leave-One-Out,0.5088541666666666,0.03021597746195066,0.48973785422780625,0.029081592211886335,0.42460658072725604,0.11105775939363875,118,0.5857142857142857
SVM 5-Fold CV,0.5178571428571428,0.029986218794990017,0.4964290627292737,0.028684146086898798,0.49813750974413057,0.039709475597661616,51,0.580952380952381
MultiRocket,0.7350446428571429,0.03803770672214406,0.7309301632428467,0.038882961154234584,,,61,0.8047619047619048
HIVECOTEV2,0.7406994047619048,0.037015343476540535,0.7301377361518708,0.03938145451969057,,,73,0.861904761904762
