feature,channel,fold,accuracy,balanced_accuracy,auc,samples
pMP,22,1,0.4,0.4,0.56,47
pMP,22,2,0.5,0.5,0.48,47
pMP,22,3,0.4444444444444444,0.5,0.65,47
pMP,22,4,0.5555555555555556,0.5,0.6,47
pMP,22,5,0.5555555555555556,0.5,0.45,47
pMP,23,1,0.5,0.5,0.48,47
pMP,23,2,0.5,0.5,0.7200000000000001,47
pMP,23,3,0.6666666666666666,0.7,0.44999999999999996,47
pMP,23,4,0.4444444444444444,0.4,0.55,47
pMP,23,5,0.5555555555555556,0.5,0.5,47
pMP,24,1,0.5,0.5,0.44000000000000006,47
pMP,24,2,0.7,0.7,0.4,47
pMP,24,3,0.4444444444444444,0.5,0.44999999999999996,47
pMP,24,4,0.4444444444444444,0.4,0.4,47
pMP,24,5,0.5555555555555556,0.5,0.5,47
pMP,25,1,0.4,0.4,0.44,47
pMP,25,2,0.3,0.3,0.72,47
pMP,25,3,0.4444444444444444,0.5,0.8500000000000001,47
pMP,25,4,0.5555555555555556,0.6,0.3,47
pMP,25,5,0.4444444444444444,0.5,0.35000000000000003,47
pMP,26,1,0.5,0.5,0.52,47
pMP,26,2,0.5,0.5,0.64,47
pMP,26,3,0.4444444444444444,0.5,0.44999999999999996,47
pMP,26,4,0.4444444444444444,0.4,0.6000000000000001,47
pMP,26,5,0.5555555555555556,0.5,0.55,47
pMP,27,1,0.5,0.5,0.44000000000000006,47
pMP,27,2,0.5,0.5,0.44000000000000006,47
pMP,27,3,0.4444444444444444,0.5,0.39999999999999997,47
pMP,27,4,0.4444444444444444,0.4,0.45,47
pMP,27,5,0.5555555555555556,0.5,0.5,47
pMP,28,1,0.5,0.5,0.44000000000000006,47
pMP,28,2,0.6,0.6000000000000001,0.44000000000000006,47
pMP,28,3,0.4444444444444444,0.5,0.55,47
pMP,28,4,0.4444444444444444,0.4,0.4,47
pMP,28,5,0.5555555555555556,0.5,0.55,47
pMP,29,1,0.5,0.5,0.44000000000000006,47
pMP,29,2,0.5,0.5,0.32,47
pMP,29,3,0.3333333333333333,0.35,0.55,47
pMP,29,4,0.4444444444444444,0.4,0.30000000000000004,47
pMP,29,5,0.5555555555555556,0.5,0.55,47
pMP,30,1,0.4,0.4,0.4,47
pMP,30,2,0.5,0.5,0.32,47
pMP,30,3,0.3333333333333333,0.35,0.55,47
pMP,30,4,0.4444444444444444,0.4,0.30000000000000004,47
pMP,30,5,0.6666666666666666,0.625,0.39999999999999997,47
pMP,31,1,0.4,0.4,0.4,47
pMP,31,2,0.5,0.5,0.24,47
pMP,31,3,0.6666666666666666,0.7,0.5,47
pMP,31,4,0.5555555555555556,0.525,0.6499999999999999,47
pMP,31,5,0.6666666666666666,0.625,0.45,47
pMP,32,1,0.5,0.5,0.6399999999999999,47
pMP,32,2,0.5,0.5,0.52,47
pMP,32,3,0.4444444444444444,0.5,0.39999999999999997,47
pMP,32,4,0.5555555555555556,0.525,0.6000000000000001,47
pMP,32,5,0.4444444444444444,0.5,0.7,47
pMP,33,1,0.5,0.5,0.4,47
pMP,33,2,0.5,0.5,0.4800000000000001,47
pMP,33,3,0.4444444444444444,0.5,0.6,47
pMP,33,4,0.4444444444444444,0.4,0.55,47
pMP,33,5,0.4444444444444444,0.4,0.6,47
pMP,34,1,0.5,0.5,0.4,47
pMP,34,2,0.4,0.4,0.44000000000000006,47
pMP,34,3,0.4444444444444444,0.5,0.65,47
pMP,34,4,0.4444444444444444,0.4,0.45,47
pMP,34,5,0.5555555555555556,0.5,0.55,47
pMP,35,1,0.5,0.5,0.4,47
pMP,35,2,0.5,0.5,0.6800000000000002,47
pMP,35,3,0.4444444444444444,0.5,0.5,47
pMP,35,4,0.4444444444444444,0.4,0.35000000000000003,47
pMP,35,5,0.5555555555555556,0.5,0.55,47
pMP,36,1,0.4,0.4,0.4,47
pMP,36,2,0.7,0.7,0.32,47
pMP,36,3,0.3333333333333333,0.35,0.45,47
pMP,36,4,0.4444444444444444,0.4,0.30000000000000004,47
pMP,36,5,0.6666666666666666,0.625,0.5,47
pMP,37,1,0.4,0.4,0.3600000000000001,47
pMP,37,2,0.8,0.8,0.19999999999999998,47
pMP,37,3,0.5555555555555556,0.575,0.39999999999999997,47
pMP,37,4,0.5555555555555556,0.525,0.6499999999999999,47
pMP,37,5,0.5555555555555556,0.525,0.45,47
pMP,38,1,0.5,0.5,0.48000000000000004,47
pMP,38,2,0.5,0.5,0.44000000000000006,47
pMP,38,3,0.4444444444444444,0.5,0.45,47
pMP,38,4,0.4444444444444444,0.475,0.5,47
pMP,38,5,0.4444444444444444,0.5,0.5,47
pMP,39,1,0.5,0.5,0.44000000000000006,47
pMP,39,2,0.5,0.5,0.56,47
pMP,39,3,0.4444444444444444,0.5,0.3,47
pMP,39,4,0.4444444444444444,0.4,0.4,47
pMP,39,5,0.3333333333333333,0.375,0.55,47
pMP,40,1,0.5,0.5,0.4,47
pMP,40,2,0.5,0.5,0.4800000000000001,47
pMP,40,3,0.4444444444444444,0.5,0.65,47
pMP,40,4,0.4444444444444444,0.425,0.35000000000000003,47
pMP,40,5,0.5555555555555556,0.525,0.65,47
pMP,41,1,0.5,0.5,0.3600000000000001,47
pMP,41,2,0.6,0.6,0.4000000000000001,47
pMP,41,3,0.4444444444444444,0.5,0.75,47
pMP,41,4,0.5555555555555556,0.525,0.6499999999999999,47
pMP,41,5,0.6666666666666666,0.625,0.55,47
pMP,42,1,0.5,0.5,0.28,47
pMP,42,2,0.6,0.6000000000000001,0.36,47
pMP,42,3,0.5555555555555556,0.55,0.25,47
pMP,42,4,0.6666666666666666,0.65,0.7,47
pMP,42,5,0.4444444444444444,0.425,0.5,47
pMP,43,1,0.5,0.5,0.48000000000000004,47
pMP,43,2,0.5,0.5,0.44,47
pMP,43,3,0.4444444444444444,0.5,0.39999999999999997,47
pMP,43,4,0.3333333333333333,0.35,0.55,47
pMP,43,5,0.4444444444444444,0.5,0.39999999999999997,47
pMP,44,1,0.5,0.5,0.44000000000000006,47
pMP,44,2,0.5,0.5,0.6,47
pMP,44,3,0.4444444444444444,0.5,0.39999999999999997,47
pMP,44,4,0.3333333333333333,0.35,0.6000000000000001,47
pMP,44,5,0.4444444444444444,0.5,0.35000000000000003,47
pMP,45,1,0.3,0.3,0.4,47
pMP,45,2,0.6,0.6,0.36,47
pMP,45,3,0.6666666666666666,0.7,0.29999999999999993,47
pMP,45,4,0.5555555555555556,0.525,0.425,47
pMP,45,5,0.5555555555555556,0.525,0.5,47
pMP,46,1,0.4,0.4,0.3600000000000001,47
pMP,46,2,0.6,0.6,0.4,47
pMP,46,3,0.6666666666666666,0.675,0.175,47
pMP,46,4,0.5555555555555556,0.525,0.5,47
pMP,46,5,0.6666666666666666,0.625,0.45,47
pMP,47,1,0.4,0.4,0.4,47
pMP,47,2,0.6,0.6,0.36,47
pMP,47,3,0.4444444444444444,0.5,0.7000000000000001,47
pMP,47,4,0.4444444444444444,0.425,0.35000000000000003,47
pMP,47,5,0.6666666666666666,0.625,0.55,47
pMP,48,1,0.5,0.5,0.3600000000000001,47
pMP,48,2,0.5,0.5,0.56,47
pMP,48,3,0.4444444444444444,0.5,0.39999999999999997,47
pMP,48,4,0.5555555555555556,0.525,0.525,47
pMP,48,5,0.4444444444444444,0.5,0.4,47
pMP,49,1,0.5,0.5,0.6399999999999999,47
pMP,49,2,0.5,0.5,0.39999999999999997,47
pMP,49,3,0.4444444444444444,0.5,0.45,47
pMP,49,4,0.5555555555555556,0.525,0.6000000000000001,47
pMP,49,5,0.4444444444444444,0.5,0.45,47
pMP,50,1,0.4,0.4,0.6,47
pMP,50,2,0.7,0.7,0.15999999999999998,47
pMP,50,3,0.5555555555555556,0.575,0.29999999999999993,47
pMP,50,4,0.5555555555555556,0.525,0.7,47
pMP,50,5,0.6666666666666666,0.625,0.45,47
pMP,51,1,0.5,0.5,0.4,47
pMP,51,2,0.7,0.7,0.36,47
pMP,51,3,0.7777777777777778,0.775,0.19999999999999998,47
pMP,51,4,0.5555555555555556,0.525,0.325,47
pMP,51,5,0.5555555555555556,0.525,0.5,47
pMP,52,1,0.5,0.5,0.32,47
pMP,52,2,0.6,0.6000000000000001,0.4800000000000001,47
pMP,52,3,0.4444444444444444,0.5,0.24999999999999997,47
pMP,52,4,0.5555555555555556,0.525,0.30000000000000004,47
pMP,52,5,0.5555555555555556,0.525,0.45,47
pMP,53,1,0.5,0.5,0.32,47
pMP,53,2,0.8,0.8,0.32,47
pMP,53,3,0.7777777777777778,0.775,0.35,47
pMP,53,4,0.5555555555555556,0.55,0.6499999999999999,47
pMP,53,5,0.5555555555555556,0.525,0.5,47
pMP,54,1,0.4,0.4,0.48000000000000004,47
pMP,54,2,0.5,0.5,0.15999999999999998,47
pMP,54,3,0.6666666666666666,0.675,0.35,47
pMP,54,4,0.4444444444444444,0.425,0.6499999999999999,47
pMP,54,5,0.5555555555555556,0.525,0.45,47
pMP,55,1,0.4,0.4,0.52,47
pMP,55,2,0.9,0.9,0.15999999999999998,47
pMP,55,3,0.4444444444444444,0.45,0.39999999999999997,47
pMP,55,4,0.5555555555555556,0.525,0.5,47
pMP,55,5,0.6666666666666666,0.625,0.45,47
pMP,56,1,0.5,0.5,0.44,47
pMP,56,2,0.7,0.7,0.28,47
pMP,56,3,0.5555555555555556,0.6,0.19999999999999996,47
pMP,56,4,0.5555555555555556,0.525,0.45,47
pMP,56,5,0.5555555555555556,0.525,0.425,47
pMP,57,1,0.5,0.5,0.52,47
pMP,57,2,0.8,0.8,0.15999999999999998,47
pMP,57,3,0.6666666666666666,0.7,0.35,47
pMP,57,4,0.4444444444444444,0.4,0.7500000000000001,47
pMP,57,5,0.6666666666666666,0.625,0.55,47
pMP,58,1,0.5,0.5,0.44000000000000006,47
pMP,58,2,0.7,0.7,0.32,47
pMP,58,3,0.4444444444444444,0.45,0.44999999999999996,47
pMP,58,4,0.4444444444444444,0.4,0.25,47
pMP,58,5,0.6666666666666666,0.625,0.45,47
pMP,59,1,0.5,0.5,0.44000000000000006,47
pMP,59,2,0.7,0.7,0.32,47
pMP,59,3,0.6666666666666666,0.65,0.35,47
pMP,59,4,0.5555555555555556,0.525,0.30000000000000004,47
pMP,59,5,0.5555555555555556,0.525,0.5,47
pMP,60,1,0.5,0.5,0.28,47
pMP,60,2,0.8,0.8,0.32,47
pMP,60,3,0.7777777777777778,0.775,0.19999999999999996,47
pMP,60,4,0.4444444444444444,0.425,0.35000000000000003,47
pMP,60,5,0.5555555555555556,0.525,0.5,47
pMP,61,1,0.4,0.4,0.48000000000000004,47
pMP,61,2,0.8,0.8,0.32,47
pMP,61,3,0.4444444444444444,0.5,0.6000000000000001,47
pMP,61,4,0.4444444444444444,0.425,0.35000000000000003,47
pMP,61,5,0.5555555555555556,0.525,0.45,47
pMP,62,1,0.5,0.5,0.4,47
pMP,62,2,0.5,0.5,0.32,47
pMP,62,3,0.4444444444444444,0.5,0.7000000000000001,47
pMP,62,4,0.5555555555555556,0.525,0.35,47
pMP,62,5,0.5555555555555556,0.5,0.5,47
pMP,63,1,0.5,0.5,0.4,47
pMP,63,2,0.7,0.7,0.24,47
pMP,63,3,0.5555555555555556,0.55,0.35,47
pMP,63,4,0.4444444444444444,0.4,0.5,47
pMP,63,5,0.6666666666666666,0.625,0.45,47
pMP,64,1,0.4,0.4,0.48,47
pMP,64,2,0.8,0.8,0.28,47
pMP,64,3,0.5555555555555556,0.575,0.39999999999999997,47
pMP,64,4,0.4444444444444444,0.4,0.7500000000000001,47
pMP,64,5,0.6666666666666666,0.625,0.4,47
pMP,65,1,0.4,0.4,0.44000000000000006,47
pMP,65,2,0.7,0.7,0.32,47
pMP,65,3,0.4444444444444444,0.425,0.49999999999999994,47
pMP,65,4,0.4444444444444444,0.4,0.4,47
pMP,65,5,0.4444444444444444,0.4,0.4,47
pMP,66,1,0.4,0.4,0.28,47
pMP,66,2,0.7,0.7,0.32,47
pMP,66,3,0.5555555555555556,0.525,0.35000000000000003,47
pMP,66,4,0.5555555555555556,0.525,0.30000000000000004,47
pMP,66,5,0.4444444444444444,0.4,0.45,47
pMP,67,1,0.4,0.4,0.4,47
pMP,67,2,0.5,0.5,0.32,47
pMP,67,3,0.6666666666666666,0.675,0.3,47
pMP,67,4,0.6666666666666666,0.65,0.30000000000000004,47
pMP,67,5,0.5555555555555556,0.525,0.45,47
pMP,68,1,0.4,0.4,0.4,47
pMP,68,2,0.5,0.5,0.32,47
pMP,68,3,0.6666666666666666,0.65,0.3,47
pMP,68,4,0.6666666666666666,0.65,0.30000000000000004,47
pMP,68,5,0.5555555555555556,0.525,0.45,47
